詞目id,漢字,鹿港偏泉腔,三峽偏泉腔,臺北偏泉腔,宜蘭偏漳腔,臺南混合腔,高雄混合腔,金門偏泉腔,馬公偏泉腔,新竹偏泉腔,臺中偏漳腔
,語,gír,gír,gú,gí,gú,gí,gír,gú,"gír,gí",gí
,說,serh,serh,seh,sueh,sueh,sueh,serh,seh,"serh,seh",sueh
,趖,sô,sô,sô,sô,sôr,sôr,sô,sô,sô,sô
,踅,se̍rh,se̍rh,se̍h,se̍h,se̍h,se̍h,se̍rh,se̍h,"se̍rh,se̍h",se̍h
,遠,hňg,hn̄g,hn̄g,huīnn,hn̄g,hn̄g,hn̄g,hn̄g,hn̄g,hn̄g
,酸,sng,sng,sng,suinn,sng,sng,sng,sng,sng,sng
,銀,gûn,gîrn,gûn,gîn,gîn,gîn,gûn,gûn,gûn,gîn
,鼻,"phǐ,phī",phī,phīnn,phīnn,phīnn,phīnn,phī,phīnn,phīnn,phīnn
,齊,tsuê,tserê,tsuê,tsê,tsê,tsê,tsuê,tsuê,tsuê,tsê
,齊,tsâu,tsâu,tsiâu,tsiâu,tsiâu,tsiâu,tsâu,tsâu,tsâu,tsiâu
,廠,tshiáng,tshiúnn,tshiúnn,tshiúnn,tshiónn,tshiúnn,tshiúnn,tshiúnn,tshiúnn,tshiúnn
,慼,tshueh,tshereh,tshueh,tsheh,tsheh,tsheh,tshueh,tshueh,tshueh,tsheh
,撨,tshâu,tshâu,tshiâu,tshiâu,tshiâu,tshiâu,tshâu,tshâu,tshâu,tshiâu
,槳,tsiúnn,tsiúnn,tsiúnn,tsiúnn,tsiónn,tsiúnn,tsiúnn,tsiúnn,tsiúnn,tsiúnn
,槽,tsô,tsô,tsô,tsô,tsôr,tsôr,tsô,tsô,tsô,tsô
,樟,tsiunn,tsiunn,tsiunn,tsiunn,tsionn,tsiunn,tsiunn,tsiunn,tsiunn,tsiunn
,樣,iǔnn,iūnn,iūnn,iūnn,iōnn,iūnn,iūnn,iūnn,iūnn,iūnn
,漿,tsiunn,tsiunn,tsiunn,tsiunn,tsionn,tsiunn,tsiunn,tsiunn,tsiunn,tsiunn
,熥,thňg,thn̄g,thn̄g,thuīnn,thn̄g,thn̄g,thn̄g,thn̄g,thn̄g,thn̄g
,瞌,khueh,khereh,khueh,kheh,kheh,kheh,khueh,khueh,khueh,kheh
,箠,tshêr,tshêr,tshê,tshuê,tshuê,tshuê,tshêr,tshê,"tshêr,tshê",tshuê
,箱,siunn,siunn,siunn,siunn,sionn,siunn,siunn,siunn,siunn,siunn
,罵,mǎ,mā,mā,mē,mē,mē,mā,mī,mā,mē
,褒,po,po,po,po,por,por,po,po,po,po
,諍,tsìnn,tsìnn,tsìnn,tsènn,tsènn,tsènn,tsìnn,tsìnn,tsìnn,tsènn
,豬,tir,tir,tu,ti,ti,ti,tir,tu,"tir,ti",ti
,賞,siúnn,siúnn,siúnn,siúnn,siónn,siúnn,siúnn,siúnn,siúnn,siúnn
,賠,pêr,pêr,pê,puê,puê,puê,pêr,pê,"pêr,pê",puê
,靠,khò,khò,khò,khò,khòr,khòr,khò,khò,khò,khò
,鞋,uê,erê,uê,ê,ê,ê,uê,uê,uê,ê
,養,iúnn,iúnn,iúnn,iúnn,iónn,iúnn,iúnn,iúnn,iúnn,iúnn
,餓,gǒ,gō,gō,gō,gōr,gōr,gǒ,gō,gō,gō
,學,o̍h,o̍h,o̍h,o̍h,o̍rh,o̍rh,o̍h,o̍h,o̍h,o̍h
,據,kìr,kìr,kù,kì,kì,kì,kìr,kù,"kìr,kì",kì
,樹,tshiū,tshiū,tshiū,,,,tshiū,tshiūnn
,磚,tsng,tsng,tsng,tsuinn,tsng,tsng,tsng,tsng,tsng,tsng
,磨,bō,bō,bō,bō,bōr,bōr,bō,bō,bō,bō
,篙,ko,ko,ko,ko,kor,kor,ko,ko,ko,ko
,糕,ko,ko,ko,ko,kor,kor,ko,ko,ko,ko
,縣,kuǎn,kuān,kuāinn,kuān,kuān,kuān,kuāinn,kuān,kuīnn,kuān
,褪,thǹg,thǹg,thǹg,thuìnn,thǹg,thǹg,thǹg,thǹg,thǹg,thǹg
,蹄,tuê,terê,tuê,tê,tê,tê,tuê,tuê,tuê,tê
,醒,tshínn,tshínn,tshínn,tshénn,tshénn,tshénn,tshínn,tshínn,tshínn,tshénn
,鋸,kìr,kìr,kù,kì,kù,kì,kìr,kù,"kìr,kì",kì
,髻,kèr,kèr,kè,kuè,kuè,kuè,kèr,kè,"kèr,kè",kuè
,濟,"tsuě,tsuē",tserē,tsuē,tsē,tsē,tsē,tsuē,tsuē,tsuē,tsē
,燥,sò,sò,sò,sò,sòr,sòr,sò,sò,sò,sò
,牆,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiônn,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiûnn
,瞪,tìnn,tìnn,tìnn,tènn,tènn,tènn,tìnn,tìnn,tìnn,tènn
,糜,bêr,bêr,bê,muê,muâi,muâi,bêr,bê,"bêr,bê",muê
,薄,po̍h,po̍h,po̍h,po̍h,po̍rh,po̍rh,po̍h,po̍h,po̍h,po̍h
,薑,kiunn,kiunn,kiunn,kiunn,kionn,kiunn,kiunn,kiunn,kiunn,kiunn
,薯,tsîr,tsîr,tsû,tsî,tsû,tsî,tsîr,tsû,"tsîr,tsî",tsî
,螺,lêr,lêr,lê,lê,lê,lê,lêr,lê,"lêr,lê",lê
,謝,siā,"siā,tsiā",siā,siā,tsiā,tsiā,siā,siā,siā
,還,hîng,hîng,hîng,hân,hîng,hîng,hîng,hân,hîng,hîng
,鍋,er,er,e,ue,ue,ue,er,e,"er,e",ue
,斷,tňg,tn̄g,tn̄g,tuīnn,tn̄g,tn̄g,tn̄g,tn̄g,tn̄g,tn̄g
,糧,niû,niû,niû,niû,niôo,niû,niû,niû,niû,niû
,軁,nǹg,nǹg,nǹg,nuì,nǹg,nǹg,nǹg,nǹg,nǹg,nǹg
,轉,tńg,tńg,tńg,tuínn,tńg,tńg,tńg,tńg,tńg,tńg
,醬,tsiùnn,tsiùnn,tsiùnn,tsiùnn,tsiònn,tsiùnn,tsiùnn,tsiùnn,tsiùnn,tsiùnn
,鎖,só,só,só,só,sór,sór,só,só,só,só
