詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,癩𰣻鬼,thái-ko-kuí,,13093(1)
,主詞目,癩𰣻爛癆,thái-ko-nuā-lô,居住環境,13094(1)
,主詞目,攑手,gia̍h-tshiú,肢體動作,13095(1)
,主詞目,灌水,kuàn-tsuí,飲食行為,13096(1)
,主詞目,欄杆,lân-kan,建築物、結構,13097(1)
,主詞目,櫻花,ing-hue,花草樹木,13098(1)
,主詞目,攝屎,liap-sái,,13099(1)
,主詞目,犧牲,hi-sing,,13100(1)
,主詞目,灌風,kuàn hong,一般動詞-行為動詞,13101(1)
,主詞目,囂俳,hiau-pai,個性風格,13102(1)
,主詞目,櫻桃,ing-thô,"蔬果作物,食物、飲料、煙酒",13103(1)
,主詞目,爛塗,nuā-thôo,"地理,自然現象",13104(1)
,主詞目,爛塗糜,nuā-thôo-muê/nuā-thôo-bê,"地理,自然現象",13105(1)
,主詞目,灌腸,kuàn-tshiâng,食物、飲料、煙酒,13106(1)
,主詞目,灌腸,kuàn tn̂g,醫療保健,13107(1)
,主詞目,攑箸,gia̍h tī/gia̍h tū,飲食行為,13108(1)
,主詞目,爛糊糊,nuā-kôo-kôo,境況、狀態-擬物,13109(1)
,主詞目,攑頭,gia̍h-thâu,肢體動作,13110(1)
,主詞目,攑懸,gia̍h-kuân,一般動詞-行為動詞,13111(1)
,主詞目,爛癬,nuā-sián,傷疾病痛,13112(1)
,主詞目,攝襇,liap-kíng,"體態樣貌,縫紉洗熨",13113(1)
,主詞目,纏,【白】tînn,,13114(1)
,主詞目,蘭,lân,花草樹木,13115(1)
,主詞目,蠟,【白】la̍h,資源礦物,13116(1)
,主詞目,襪,【白】bue̍h,衣帽鞋襪,13117(1)
,主詞目,襪仔,bue̍h-á,衣帽鞋襪,13118(1)
,主詞目,纏身,tînn-sin,一般動詞-靜態動詞,13119(1)
,主詞目,蘭花,lân-hue,花草樹木,13120(1)
,主詞目,蠟紙,la̍h-tsuá,生活用品,13121(1)
,主詞目,籐條,tîn-tiâu,"植物形體、狀態,生活用品",13122(1)
,主詞目,蠟條,la̍h-tiâu,生活用品,13123(1)
,主詞目,蠟筆,la̍h-pit,生活用品,13124(1)
,主詞目,纏跤絆手,tînn-kha-puànn-tshiú,一般動詞-行為動詞,13125(1)
,主詞目,纏綴,tînn-tuè/tînn-tè,,13126(1)
,主詞目,纏線,tînn suànn,一般動詞-行為動詞,13127(1)
,主詞目,蠟燭,la̍h-tsik,生活用品,13128(1)
,主詞目,辯,piān,,13129(1)
,主詞目,鐵,【白】thih,"資源礦物,氣質態度",13130(1)
,主詞目,露,lōo,,13131(1)
,主詞目,霸,pà,,13132(1)
,主詞目,鐵人,thih-lâng,"科技、工業,才智能力",13133(1)
,主詞目,護士,hōo-sū,,13134(1)
,主詞目,辯士,piān-sū,戲劇、音樂,13135(1)
,主詞目,鐵工,thih-kang,科技、工業,13136(1)
,主詞目,露水,lōo-tsuí,自然現象,13137(1)
,主詞目,霸王,pà-ông,,13138(1)
,主詞目,鐵牛仔,thih-gû-á,農林業,13139(1)
,主詞目,霸占,pà-tsiàm,,13140(1)
,主詞目,鐵甲,thih-kah,軍事,13141(1)
,主詞目,護身符,hōo-sin-hû,相關器具、活動,13142(1)
,主詞目,鐵枋,thih-pang,"生產工具,性質、程度",13143(1)
,主詞目,鐵枝,thih-ki,"資源礦物,生產工具,交通、運輸",13144(1)
,主詞目,鐵枝路,thih-ki-lōo,道路、橋梁,13145(1)
,主詞目,護法,hōo-huat,神職、神巫、信徒,13146(1)
,主詞目,鐵釘,thih-ting,"生活用品,生產工具",13147(1)
,主詞目,鐵馬,thih-bé,交通、運輸,13148(1)
,主詞目,鐵釘仔,thih-ting-á,"生活用品,生產工具",13149(1)
,主詞目,鐵骨仔生,thih-kut-á-senn/thih-kut-á-sinn,體態樣貌,13150(1)
,主詞目,鐵桶,thih-tháng,生活用品,13151(1)
,主詞目,護理,hōo-lí,醫療保健,13152(1)
,主詞目,譴責,khián-tsik,,13153(1)
,主詞目,護照,hōo-tsiàu,旅運設施,13154(1)
,主詞目,辯解,piān-kái,,13155(1)
,主詞目,鐵鉎,thih-sian,"自然現象,廢棄物",13156(1)
,主詞目,鐵槌,thih-thuî,生產工具,13157(1)
,主詞目,辯論,piān-lūn,,13158(1)
,主詞目,鐵齒,thih-khí,個性風格,13159(1)
,主詞目,鐵齒銅牙槽,thih-khí tâng-gê-tsô,個性風格,13160(1)
,主詞目,護龍,hōo-lîng,建築物、結構,13161(1)
,主詞目,露營,lōo-iânn,"休閒、娛樂,旅行",13162(1)
,主詞目,露螺,lōo-lê,其他動物,13163(1)
,主詞目,鐵櫃,thih-kuī,生活用品,13164(1)
,主詞目,躊躇,tiû-tû,心理狀態,13165(1)
,主詞目,辯護,piān-hōo,法律,13166(1)
,主詞目,辯護士,piān-hōo-sū,"服務業及其他,法律",13167(1)
,主詞目,響,hiáng,,13168(1)
,主詞目,顧,kòo,稱謂輩分,13169(1)
,主詞目,鬖【替】,sàm,體態樣貌,13170(1)
,主詞目,鶴,【白】ho̍h,禽類,13171(1)
,主詞目,顧人怨,kòo-lâng-uàn,,13172(1)
,主詞目,顧三頓,kòo-sann-tǹg,生活狀況,13173(1)
,主詞目,鬖毛鬼,sàm-mn̂g-kuí,體態樣貌,13174(1)
,主詞目,鰮仔魚,un-á-hî/un-á-hû,"魚蝦海獸,食物、飲料、煙酒",13175(1)
,主詞目,顧門,kòo-mn̂g,房屋租賃、搬遷,13176(1)
,主詞目,響亮,hiáng-liāng,性質、程度,13177(1)
,主詞目,顧客,kòo-kheh,"泛稱,相關用語",13178(1)
,主詞目,顧厝,kòo-tshù,房屋租賃、搬遷,13179(1)
,主詞目,顧家,kòo-ke,,13180(1)
,主詞目,魔神仔,môo-sîn-á,神明、鬼怪、教派,13181(1)
,主詞目,魔鬼,môo-kuí,神明、鬼怪、教派,13182(1)
,主詞目,顧問,kòo-būn,,13183(1)
,主詞目,魔術,môo-su̍t,休閒、娛樂,13184(1)
,主詞目,響應,hiáng-ìng,,13185(1)
,主詞目,齧【替】,khè/khuè,一般動詞-行為動詞,13186(1)
,主詞目,麝香,siā-hiunn,"動物形體、行為,醫療保健,理容、化妝",13187(1)
,主詞目,囉【替】,lō,,13188(1)
,主詞目,囉,--looh,助詞、嘆詞,13189(1)
,主詞目,囊【替】,long,生活用品,13190(1)
,主詞目,囊,lông,事、物泛稱,13191(1)
,主詞目,彎,uan,,13192(1)
,主詞目,攢,tshuân,,13193(1)
,主詞目,攤,【白】thuann,數詞、量詞,13194(1)
,主詞目,欉,tsâng,"植物形體、狀態,數詞、量詞",13195(1)
,主詞目,權,khuân,,13196(1)
,主詞目,權力,khuân-li̍k,地位、身世、背景,13197(1)
,主詞目,彎曲,uan-khiau,,13198(1)
,主詞目,權利,khuân-lī,,13199(1)
,主詞目,彎來斡去,uan-lâi-uat-khì,"個性風格,道路、橋梁",13200(1)
,主詞目,歡迎,huan-gîng,,13201(1)
,主詞目,權威,khuân-ui,,13202(1)
,主詞目,權限,khuân-hān,地位、身世、背景,13203(1)
,主詞目,歡送,huan-sàng,,13204(1)
,主詞目,攤販,thuann-huàn,商業,13205(1)
,主詞目,歡喜,huann-hí,,13206(1)
,主詞目,囉嗦,lo-so,個性風格,13207(1)
,主詞目,歡頭喜面,huann-thâu-hí-bīn,反應、表情,13208(1)
,主詞目,歡歡喜喜,huann-huann-hí-hí,心理狀態,13209(1)
,主詞目,彎彎斡斡,uan-uan-uat-uat,"個性風格,道路、橋梁",13210(1)
,主詞目,灘,thuann,自然現象,13211(1)
,主詞目,瓤,【白】nn̂g,"動物形體、行為,植物形體、狀態",13212(1)
,主詞目,疊,【白】tha̍h,數詞、量詞,13213(1)
,主詞目,疊,【文】thia̍p,,13214(1)
,主詞目,癬,sián,傷疾病痛,13215(1)
,主詞目,癮【替】,giàn,,13216(1)
,主詞目,籗【替】,khah,漁牧業,13217(1)
,主詞目,籠【替】,lam,生活用品,13218(1)
,主詞目,籠【替】,lang,事、物泛稱,13219(1)
,主詞目,籠,【白】láng,事、物泛稱,13220(1)
,主詞目,籠,【白】lâng,生活用品,13221(1)
,主詞目,籠【替】,lāng,,13222(1)
,主詞目,籠,【文】lông,生活用品,13223(1)
,主詞目,糴,【白】tia̍h,商業,13224(1)
,主詞目,聽,【白】thiann,感官動作,13225(1)
,主詞目,聽,【文】thìng,,13226(1)
,主詞目,讀,【白】tha̍k,,13227(1)
,主詞目,讀,【文】tho̍k,,13228(1)
,主詞目,籗仔,khah-á,"漁牧業,生產工具",13229(1)
,主詞目,籠仔,láng-á,生活用品,13230(1)
,主詞目,讀冊,tha̍k-tsheh,教育、學術,13231(1)
,主詞目,讀冊人,tha̍k-tsheh-lâng,"泛稱,教育、學術",13232(1)
,主詞目,癮仙哥,giàn-sian-ko,"生活狀況,食物、飲料、煙酒",13233(1)
,主詞目,讀死冊,tha̍k-sí-tsheh,教育、學術,13234(1)
,主詞目,糴米,tia̍h-bí,"服務業及其他,財務單位、活動",13235(1)
,主詞目,籠床,lâng-sn̂g,飲食物具,13236(1)
,主詞目,讀者,tho̍k-tsiá,泛稱,13237(1)
,主詞目,聽香,thiann-hiunn,相關器具、活動,13238(1)
,主詞目,聽候,thìng-hāu,一般動詞-行為動詞,13239(1)
,主詞目,聽喙,thiann-tshuì,氣質態度,13240(1)
,主詞目,聽著,thiann-tio̍h,反應、表情,13241(1)
,主詞目,癮頭,giàn-thâu,,13242(1)
,主詞目,聽講,thiann-kóng,一般動詞-靜態動詞,13243(1)
,主詞目,贖,sio̍k,財務單位、活動,13244(1)
,主詞目,鑄,tsù,,13245(1)
,主詞目,顫【替】,tsùn,反應、表情,13246(1)
,主詞目,鬚,【白】tshiu,事、物泛稱,13247(1)
,主詞目,贖身,sio̍k-sin,財務單位、活動,13248(1)
,主詞目,鑑定,kàm-tīng,一般動詞-行為動詞,13249(1)
,主詞目,驕傲,kiau-ngōo,,13250(1)
,主詞目,鰱,liân,"魚蝦海獸,食物、飲料、煙酒",13251(1)
,主詞目,鰻,muâ,"魚蝦海獸,食物、飲料、煙酒",13252(1)
,主詞目,鰾,piō,動物形體、行為,13253(1)
,主詞目,鱉,【白】pih,爬蟲、兩棲類,13254(1)
,主詞目,齪【替】,tsak,,13255(1)
,主詞目,鰱魚,liân-hî/liân-hû,"魚蝦海獸,食物、飲料、煙酒",13256(1)
,主詞目,鱈魚,suat-hî/suat-hû,"魚蝦海獸,食物、飲料、煙酒",13257(1)
,主詞目,齪嘈,tsak-tsō,,13258(1)
,主詞目,鷓鴣菜,tsià-koo-tshài,"蔬果作物,食物、飲料、煙酒",13259(1)
,主詞目,攪,kiáu,,13260(1)
,主詞目,癰【替】,ing,傷疾病痛,13261(1)
,主詞目,籤,tshiam,,13262(1)
,主詞目,癰仔,ing-á,傷疾病痛,13263(1)
,主詞目,攪吵,kiáu-tshá,,13264(1)
,主詞目,攪絞,kiáu-ká,傷疾病痛,13265(1)
,主詞目,籤筒,tshiam-tâng,相關器具、活動,13266(1)
,主詞目,戀愛,luân-ài,性別、婚姻,13267(1)
,主詞目,籤詩,tshiam-si,相關器具、活動,13268(1)
,主詞目,攪擾,kiáu-jiáu/kiáu-liáu,,13269(1)
,主詞目,纓纏,inn-tînn,,13270(1)
,主詞目,變,【文】piàn,,13271(1)
,主詞目,變,【白】pìnn,,13272(1)
,主詞目,躘【替】,liòng,肢體動作,13273(1)
,主詞目,鑢【替】,lù,一般動詞-行為動詞,13274(1)
,主詞目,顯,【文】hián,,13275(1)
,主詞目,顯,【白】hiánn,,13276(1)
,主詞目,驗,giām,,13277(1)
,主詞目,驚,【白】kiann,,13278(1)
,主詞目,驛,【白】ia̍h,"旅運設施,建築物、結構",13279(1)
,主詞目,髓,【白】tshué/tshé,"生理構造,食物、飲料、煙酒",13280(1)
,主詞目,體,【文】thé,,13281(1)
,主詞目,驚人,kiann--lâng,,13282(1)
,主詞目,驚人,kiann-lâng,,13283(1)
,主詞目,體力,thé-la̍t,才智能力,13284(1)
,主詞目,變化,piàn-huà,,13285(1)
,主詞目,變心,piàn-sim,性別、婚姻,13286(1)
,主詞目,鑢仔,lù-á,生活用品,13287(1)
,主詞目,顯目,hiánn-ba̍k,形貌、體積,13288(1)
,主詞目,驚生份,kiann-senn-hūn/kiann-sinn-hūn,"反應、表情,心理狀態,交際應酬",13289(1)
,主詞目,驚死,kiann--sí,反應、表情,13290(1)
,主詞目,驚死,kiann-sí,,13291(1)
,主詞目,驚死人,kiann-sí-lâng,反應、表情,13292(1)
,主詞目,變色,piàn-sik,顏色、氣味,13293(1)
,主詞目,驗血,giām-hueh/giām-huih,醫療保健,13294(1)
,主詞目,變更,piàn-king,,13295(1)
,主詞目,變步,piàn-pōo,事、物泛稱,13296(1)
,主詞目,體育,thé-io̍k,"教育、學術,體育、運動",13297(1)
,主詞目,驚見笑,kiann-kiàn-siàu,"反應、表情,個性風格,心理狀態",13298(1)
,主詞目,變卦,piàn-kuà,,13299(1)
,主詞目,變空,pìnn-khang,一般動詞-行為動詞,13300(1)
,主詞目,驗屍,giām-si,"醫療保健,法律",13301(1)
,主詞目,驚某,kiann bóo,性別、婚姻,13302(1)
,主詞目,變面,pìnn-bīn,"反應、表情,待人處事",13303(1)
,主詞目,體面,thé-biān,,13304(1)
,主詞目,體格,thé-keh,生理構造,13305(1)
,主詞目,變鬼,pìnn-kuí,一般動詞-行為動詞,13306(1)
,主詞目,變鬼變怪,pìnn-kuí-pìnn-kuài,一般動詞-行為動詞,13307(1)
,主詞目,體統,thé-thóng,事、物泛稱,13308(1)
,主詞目,躘被,liòng phuē/liòng phē,,13309(1)
,主詞目,變通,piàn-thong,"才智能力,待人處事",13310(1)
,主詞目,驚惶,kiann-hiânn,"反應、表情,心理狀態",13311(1)
,主詞目,變款,piàn-khuán,一般動詞-靜態動詞,13312(1)
,主詞目,變猴弄,pìnn-kâu-lāng,休閒、娛樂,13313(1)
,主詞目,體貼,thé-thiap,氣質態度,13314(1)
,主詞目,驗傷,giām siong,醫療保健,13315(1)
,主詞目,體會,thé-huē,心理活動,13316(1)
,主詞目,顯聖,hián-sìng,相關器具、活動,13317(1)
,主詞目,體諒,thé-liōng,心理活動,13318(1)
,主詞目,體操,thé-tshau,體育、運動,13319(1)
,主詞目,顯頭,hiánn-thâu,形貌、體積,13320(1)
,主詞目,變竅,piàn-khiàu,"才智能力,待人處事",13321(1)
,主詞目,體驗,thé-giām,心理活動,13322(1)
,主詞目,鱖,kuè/kè,"魚蝦海獸,食物、飲料、煙酒",13323(1)
,主詞目,鱗,【白】lân,動物形體、行為,13324(1)
,主詞目,鱙仔魚,jiâu-á-hî/liâu-á-hû,"魚蝦海獸,食物、飲料、煙酒",13325(1)
,主詞目,鱔魚,siān-hî/siān-hû,"魚蝦海獸,食物、飲料、煙酒",13326(1)
,主詞目,鱖魚,kuè-hî/kè-hû,"魚蝦海獸,食物、飲料、煙酒",13327(1)
,主詞目,攬,lám,數詞、量詞,13328(1)
,主詞目,罐,kuàn,"生活用品,數詞、量詞",13329(1)
,主詞目,讓,【白】niū,,13330(1)
,主詞目,讖,tshàm,語言、文字、符號,13331(1)
,主詞目,靈,lîng,"才智能力,神明、鬼怪、教派,相關器具、活動,性質、程度",13332(1)
,主詞目,靈丹,lîng-tan,醫療保健,13333(1)
,主詞目,讓手,niū-tshiú,,13334(1)
,主詞目,罐仔,kuàn-á,生活用品,13335(1)
,主詞目,箅仔骨,pín-á-kut,生理構造,13336(1)
,主詞目,讓位,niū-uī,"相關用語,待人處事",13337(1)
,主詞目,靈位,lîng-uī,"宗族、家庭,神明、鬼怪、教派",13338(1)
,主詞目,讓步,niū-pōo,,13339(1)
,主詞目,蠶豆,tshân-tāu,"蔬果作物,醫療保健,食物、飲料、煙酒",13340(1)
,主詞目,靈芝,lîng-tsi,"醫療保健,食物、飲料、煙酒",13341(1)
,主詞目,靈厝,lîng-tshù,婚喪喜慶,13342(1)
,主詞目,靈通,lîng-thong,才智能力,13343(1)
,主詞目,讓渡,jiōng-tōo/liōng-tōo,財務單位、活動,13344(1)
,主詞目,靈感,lîng-kám,,13345(1)
,主詞目,靈聖,lîng-siànn,相關器具、活動,13346(1)
,主詞目,靈魂,lîng-hûn,"生養老死,神明、鬼怪、教派",13347(1)
,主詞目,罐頭,kuàn-thâu,食物、飲料、煙酒,13348(1)
,主詞目,韆鞦,tshian-tshiu,"體育、運動,休閒、娛樂",13349(1)
,主詞目,靈驗,lîng-giām,相關器具、活動,13350(1)
,主詞目,鱟,hāu,魚蝦海獸,13351(1)
,主詞目,鷹,ing,禽類,13352(1)
,主詞目,鹼,【白】kinn,資源礦物,13353(1)
,主詞目,鹽,iâm,食物、飲料、煙酒,13354(1)
,主詞目,齆【替】,àng,,13355(1)
,主詞目,齴【替】,giàng,形貌、體積,13356(1)
,主詞目,鱟𣁳仔,hāu-khat-á,"生活用品,飲食物具",13357(1)
,主詞目,齴牙,giàng-gê,"生理構造,氣質態度",13358(1)
,主詞目,鹼仔粿,kinn-á-kué/kinn-á-ké,食物、飲料、煙酒,13359(1)
,主詞目,鬢角,pìn-kak,生理構造,13360(1)
,主詞目,鹽花仔,iâm-hue-á,食物、飲料、煙酒,13361(1)
,主詞目,鹽埕,iâm-tiânn,地理,13362(1)
,主詞目,鱟桸,hāu-hia,生活用品,13363(1)
,主詞目,鬢跤,pìn-kha,生理構造,13364(1)
,主詞目,鹼粽,kinn-tsàng,食物、飲料、煙酒,13365(1)
,主詞目,鹽酸,iâm-sng,生活用品,13366(1)
,主詞目,齆鼻,àng-phīnn,傷疾病痛,13367(1)
,主詞目,齆鼻聲,àng-phīnn-siann,傷疾病痛,13368(1)
,主詞目,齆聲,àng-siann,傷疾病痛,13369(1)
,主詞目,鹽甕仔,iâm-àng-á,"生活用品,飲食物具",13370(1)
,主詞目,鬢繐,pìn-sui,生理構造,13371(1)
,主詞目,鬢邊,pìn-pinn,生理構造,13372(1)
,主詞目,齷齪,ak-tsak,心理狀態,13373(1)
,主詞目,廳,【白】thiann,"建築物、結構,相關器具、活動",13374(1)
,主詞目,灣,uan,地理,13375(1)
,主詞目,糶,【白】thiò,商業,13376(1)
,主詞目,糶米,thiò-bí,"農林業,商業",13377(1)
,主詞目,籬笆,lî-pa,建築物、結構,13378(1)
,主詞目,廳堂,thiann-tn̂g,建築物、結構,13379(1)
,主詞目,廳頭,thiann-thâu,建築物、結構,13380(1)
,主詞目,襻,phàn,衣帽鞋襪,13381(1)
,主詞目,跕【替】,liam,肢體動作,13382(1)
,主詞目,躡【替】,neh/nih,肢體動作,13383(1)
,主詞目,鑱,tshîm,戲劇、音樂,13384(1)
,主詞目,饞【替】,sâi,飲食行為,13385(1)
,主詞目,鑱仔,tshîm-á,戲劇、音樂,13386(1)
,主詞目,蠻皮,bân-phuê/bân-phê,個性風格,13387(1)
,主詞目,蠻皮癬,bân-phuê-sián/bân-phê-sián,傷疾病痛,13388(1)
,主詞目,觀光,kuan-kong,旅行,13389(1)
,主詞目,觀念,kuan-liām,心理狀態,13390(1)
,主詞目,觀前顧後,kuan-tsîng-kòo-āu,氣質態度,13391(1)
,主詞目,觀音,Kuan-im,神明、鬼怪、教派,13392(1)
,主詞目,饞食,sâi-tsia̍h,飲食行為,13393(1)
,主詞目,觀音竹,kuan-im-tik,花草樹木,13394(1)
,主詞目,躡跤尾,neh-kha-bué/nih-kha-bé,肢體動作,13395(1)
,主詞目,觀察,kuan-tshat,一般動詞-行為動詞,13396(1)
,主詞目,讚【替】,tsán,,13397(1)
,主詞目,驢,lî/lû,獸類,13398(1)
,主詞目,鬮,khau,休閒、娛樂,13399(1)
,主詞目,驢仔,lî-á/lû-á,獸類,13400(1)
,主詞目,鑼,lô,戲劇、音樂,13401(1)
,主詞目,鑽,【白】tsǹg,,13402(1)
,主詞目,鱸,lôo,魚蝦海獸,13403(1)
,主詞目,鑽仔,tsǹg-á,"生活用品,生產工具",13404(1)
,主詞目,鑽耳,tsǹg hīnn/tsǹg hī,理容、化妝,13405(1)
,主詞目,鑽空,tsǹg-khang,生活勞動,13406(1)
,主詞目,鱷魚,kho̍k-hî/kho̍k-hû,爬蟲、兩棲類,13407(1)
,主詞目,鱸魚,lôo-hî/lôo-hû,魚蝦海獸,13408(1)
,主詞目,鑼鼓,lô-kóo,戲劇、音樂,13409(1)
,主詞目,鸕鶿,lôo-tsî,禽類,13410(1)
,主詞目,鱸鰻,lôo-muâ,"魚蝦海獸,地位、身世、背景,食物、飲料、煙酒",13411(1)
,主詞目,戇,gōng,才智能力,13412(1)
,主詞目,鑿,【白】tsha̍k,,13413(1)
,主詞目,戇人,gōng-lâng,,13414(1)
,主詞目,戇大呆,gōng-tuā-tai,,13415(1)
,主詞目,鑿仔,tsha̍k-á,"生活用品,生產工具",13416(1)
,主詞目,鑿目,tsha̍k-ba̍k,"境況、狀態-擬人,境況、狀態-擬物",13417(1)
,主詞目,戇呆,gōng-tai,,13418(1)
,主詞目,戇的,gōng--ê,才智能力,13419(1)
,主詞目,戇直,gōng-ti̍t,個性風格,13420(1)
,主詞目,鸚哥,ing-ko,禽類,13421(1)
,主詞目,鸚哥鼻,ing-ko-phīnn,體態樣貌,13422(1)
,主詞目,戇神,gōng-sîn,反應、表情,13423(1)
,主詞目,戇猴,gōng-kâu,才智能力,13424(1)
,主詞目,戇想,gōng-siūnn,心理活動,13425(1)
,主詞目,戇話,gōng-uē,,13426(1)
,主詞目,戇錢,gōng-tsînn,財務單位、活動,13427(1)
,主詞目,戇頭戇面,gōng-thâu-gōng-bīn,,13428(1)
,主詞目,戇膽,gōng-tánn,,13429(1)
,主詞目,戇戇,gōng-gōng,,13430(1)
,主詞目,鑿鑿,tsha̍k-tsha̍k,傷疾病痛,13431(1)
,主詞目,鬱,ut,,13432(1)
,主詞目,鬱卒,ut-tsut,心理狀態,13433(1)
,主詞目,鬱傷,ut-siong,傷疾病痛,13434(1)
,主詞目,鬱歲,ut-huè/ut-hè,生養老死,13435(1)
,主詞目,廍【替】,phōo,建築物、結構,13436(1)
,主詞目,揻【替】,ui,一般動詞-活動動詞,13437(1)
,主詞目,砛【替】,gîm,建築物、結構,13438(1)
,主詞目,砛仔,gîm-á,建築物、結構,13439(1)
,主詞目,砛簷,gîm-tsînn,建築物、結構,13440(1)
,主詞目,硓𥑮石,lóo-kóo-tsio̍h,資源礦物,13441(1)
,主詞目,粩【替】,láu,食物、飲料、煙酒,13442(1)
,主詞目,襇【替】,kíng,數詞、量詞,13443(1)
,主詞目,贌,pa̍k,商業,13444(1)
,主詞目,贌田,pa̍k-tshân,農林業,13445(1)
,主詞目,蹽【替】,liâu,,13446(1)
,主詞目,蹽溪仔,liâu khe-á/liâu khue-á,肢體動作,13447(1)
,主詞目,蹽落去,liâu--lo̍h-khì,生活狀況,13448(1)
,主詞目,躼【替】,lò,體態樣貌,13449(1)
,主詞目,躼跤,lò-kha,體態樣貌,13450(1)
,主詞目,躼跤仔,lò-kha-á,"禽類,體態樣貌",13451(1)
,主詞目,㧎【替】,khê,,13452(1)
,主詞目,㧣【替】,tu,,13453(1)
,主詞目,㨂,tàng,肢體動作,13454(1)
,主詞目,㨨【替】,liû,,13455(1)
,主詞目,𠯗【替】,tsi̍p,感官動作,13456(1)
,主詞目,𠯗一下,tsi̍p--tsi̍t-ē,飲食行為,13457(1)
,主詞目,㤉【替】,gê,,13458(1)
,主詞目,㤉潲,gê-siâu,,13459(1)
,主詞目,䀐,siam,感官動作,13460(1)
,主詞目,㾀,khiap,,13461(1)
,主詞目,㾀勢,khiap-sì,體態樣貌,13462(1)
,主詞目,㾀勢命,khiap-sì-miā,生活狀況,13463(1)
,主詞目,㧻【替】,tok,,13464(1)
,主詞目,𧉟【替】,tâi,昆蟲類,13465(1)
,主詞目,䘥仔,kah-á,衣帽鞋襪,13466(1)
,主詞目,𢯾【替】,mooh,,13467(1)
,主詞目,𢯾壁鬼,mooh-piah-kuí,泛稱,13468(1)
,主詞目,𠞩【替】,tsuî,一般動詞-行為動詞,13469(1)
,主詞目,𠞭【替】,liô,,13470(1)
,主詞目,𠢕,gâu,,13471(1)
,主詞目,𠢕人,gâu-lâng,,13472(1)
,主詞目,𠢕早,gâu-tsá,,13473(1)
,主詞目,𠢕吮食,gâu-tshńg-tsia̍h,待人處事,13474(1)
,主詞目,𠢕開,gâu khai,財務單位、活動,13475(1)
,主詞目,㔂【替】,lân,一般動詞-行為動詞,13476(1)
,主詞目,㔂甘蔗,lân kam-tsià,飲食行為,13477(1)
,主詞目,𢲸【替】,lōo,境況、狀態-擬物,13478(1)
,主詞目,𨂿,uáinn,傷疾病痛,13479(1)
,主詞目,𨂿著,uáinn-tio̍h,傷疾病痛,13480(1)
,主詞目,䫌【替】,phué,生理構造,13481(1)
,主詞目,𢼌【替】,pa,,13482(1)
,主詞目,𣮈頭山,khu̍t-thâu-suann,地理,13483(1)
,主詞目,𩑾【替】,tshih,,13484(1)
,主詞目,𡳞,lān,生理構造,13485(1)
,主詞目,𡳞𦉎,lān-sui,生理構造,13486(1)
,主詞目,𡳞核,lān-hu̍t,生理構造,13487(1)
,主詞目,𡳞神,lān-sîn,個性風格,13488(1)
,主詞目,𡳞脬,lān-pha,生理構造,13489(1)
,主詞目,𡳞鳥,lān-tsiáu,生理構造,13490(1)
,主詞目,𡳞蔓,lān-muā,生理構造,13491(1)
,主詞目,𩵱【替】,ngóo,"魚蝦海獸,食物、飲料、煙酒",13492(1)
,主詞目,𩵱仔,ngóo-á,魚蝦海獸,13493(1)
,主詞目,𪁎【替】,tshio,動物形體、行為,13494(1)
,主詞目,𪁎哥,tshio-ko,,13495(1)
,主詞目,𪁎趒,tshio-tiô,"動物形體、行為,植物形體、狀態,氣質態度",13496(1)
,主詞目,𪁎雞,tshio-ke/tshio-kue,禽類,13497(1)
,主詞目,𩛩【替】,kauh,,13498(1)
,主詞目,𩛩肥,kauh-puî,農林業,13499(1)
,主詞目,𥐵【替】,phiat,"生活用品,飲食物具,數詞、量詞",13500(1)
,主詞目,𥐵仔,phiat-á,"生活用品,飲食物具",13501(1)
,主詞目,𡢃【替】,kán,地位、身世、背景,13502(1)
,主詞目,𥰔,phín,戲劇、音樂,13503(1)
,主詞目,𥰔仔,phín-á,戲劇、音樂,13504(1)
,主詞目,𥴊【替】,kám,"生活用品,飲食物具,數詞、量詞",13505(1)
,主詞目,𥴊仔,kám-á,生活用品,13506(1)
,主詞目,𥴊仔店,kám-á-tiàm,"商業,建築物、結構",13507(1)
,主詞目,𥴊壺,kám-ôo,生活用品,13508(1)
,主詞目,䖙【替】,the,,13509(1)
,主詞目,䖙椅,the-í,生活用品,13510(1)
,主詞目,𤆬【替】,tshuā,,13511(1)
,主詞目,𤆬路,tshuā-lōo,旅行,13512(1)
,主詞目,𤆬路雞,tshuā-lōo-ke/tshuā-lōo-kue,"禽類,相關器具、活動",13513(1)
,主詞目,𤆬頭,tshuā-thâu,"地位、身世、背景,性質、程度",13514(1)
,主詞目,䘼,ńg,衣帽鞋襪,13515(1)
,主詞目,䆀,bái,,13516(1)
,主詞目,䆀才,bái-tsâi,,13517(1)
,主詞目,䆀手,bái-tshiú,泛稱,13518(1)
,主詞目,䆀味,bái bī,顏色、氣味,13519(1)
,主詞目,䆀指,bái-tsáinn,生理構造,13520(1)
,主詞目,䆀猴,bái-kâu,"個性風格,體態樣貌",13521(1)
,主詞目,𨑨迌,tshit-thô,"氣質態度,休閒、娛樂",13522(1)
,主詞目,𨑨迌人,tshit-thô-lâng,泛稱,13523(1)
,主詞目,𨑨迌囡仔,tshit-thô-gín-á,,13524(1)
