詞目id,詞目類型,漢字,羅馬字,分類,羅馬字音檔檔名
,主詞目,口供,kháu-king,法律,338(1)
,主詞目,大使,tāi-sài,"服務業及其他,外交",339(1)
,主詞目,小事,sió-sū,事、物泛稱,340(1)
,主詞目,小使,siáu-sú,"泛稱,相關用語",341(1)
,主詞目,工事,kang-sū,相關用語,342(1)
,主詞目,女兒,lú-jî/lú-lî,"宗族、家庭,稱謂輩分",343(1)
,主詞目,小叔,sió-tsik,"宗族、家庭,稱謂輩分",344(1)
,主詞目,小管仔,sió-kńg-á,"魚蝦海獸,食物、飲料、煙酒,事、物泛稱",345(1)
,主詞目,小兒科,sió-jî-kho/sió-lî-kho,醫療保健,346(1)
,主詞目,小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,傷疾病痛,347(1)
,主詞目,山坪,suann-phiânn,"地理,自然現象",348(1)
,主詞目,丈姆,tiūnn-ḿ,"性別、婚姻,稱謂輩分",349(1)
,主詞目,大姆,tuā-ḿ,"宗族、家庭,稱謂輩分",350(1)
,主詞目,大姊,tuā-tsí,"宗族、家庭,稱謂輩分",351(1)
,主詞目,大姑,tuā-koo,"宗族、家庭,稱謂輩分",352(1)
,主詞目,小妹,sió-muē/sió-bē,"宗族、家庭,稱謂輩分",353(1)
,主詞目,小姐,sió-tsiá,"宗族、家庭,稱謂輩分",354(1)
,主詞目,小姑,sió-koo,"宗族、家庭,稱謂輩分",355(1)
,主詞目,丈姆婆,tiūnn-ḿ-pô,"性別、婚姻,稱謂輩分",356(1)
,主詞目,下底,ē-té/ē-tué,空間方位,357(1)
,主詞目,大官,ta-kuann,"宗族、家庭,稱謂輩分",358(1)
,主詞目,大官虎,tuā-kuann-hóo,"地位、身世、背景,政治",359(1)
,主詞目,土性,thóo-sìng,"個性風格,氣質態度",360(1)
,主詞目,下性命,hē-sènn-miā/hē-sìnn-miā,"個性風格,性質、程度,副詞",361(1)
,主詞目,大房,tuā-pâng,"宗族、家庭,稱謂輩分",362(1)
,主詞目,大拖,tuā-thua,農林業,363(1)
,主詞目,下昏,e-hng,時間節令,364(1)
,主詞目,山東白仔,suann-tang-pe̍h-á,"蔬果作物,食物、飲料、煙酒",365(1)
,主詞目,下昏暗,e-hng-àm,時間節令,366(1)
,主詞目,乞的,khit--ê,泛稱,367(1)
,主詞目,土直,thóo-ti̍t,個性風格,368(1)
,主詞目,三肢手,sann-ki-tshiú,相關用語,369(1)
,主詞目,久長,kú-tn̂g,時間節令,370(1)
,主詞目,千金,tshian-kim,"宗族、家庭,稱謂輩分,性質、程度",371(1)
,主詞目,三長兩短,sann-tn̂g-nn̄g-té,生養老死,372(1)
,主詞目,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,植物形體、狀態,373(1)
,主詞目,久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,傷疾病痛,374(1)
,主詞目,千金譜,Tshian-kim-phóo,教育、學術,375(1)
,主詞目,大便,tāi-piān,"反應、表情,廢棄物",376(1)
,主詞目,大前年,tuā-tsûn--nî,時間節令,377(1)
,主詞目,大姨,tuā-î,"宗族、家庭,稱謂輩分",378(1)
,主詞目,上帝,Siōng-tè,神明、鬼怪、教派,379(1)
,主詞目,上帝公,Siōng-tè-kong,神明、鬼怪、教派,380(1)
,主詞目,三思,sàm-su,心理活動,381(1)
,主詞目,大後日,tuā-āu--ji̍t/tuā-āu--li̍t,時間節令,382(1)
,主詞目,大後年,tuā-āu--nî,時間節令,383(1)
