漢字,羅馬字,建議順序,類型
龍,liông,,文
龍,lîng,,白
營,îng,,文
營,iânn,,白
燭,tsiok,,文
燭,tsik,,白
總,tsóng,,文
總,tsáng,,白
聲,sing,,文
聲,siann,,白
膽,tám,,文
膽,tánn,,白
講,káng,,文
講,kóng,,白
謝,siā,,文
謝,tsiā,,白
還,huân,,文
還,hîng,,白
還,hâinn,,白
霜,song,,文
霜,sng,,白
黜,thut,,文
黜,thuh,,白
齋,tsai,,文
齋,tse,,白
斷,tuàn,,文
斷,tuān,,文
斷,tn̄g,,白
斷,tuīnn,,白
蟲,thiông,,文
蟲,thâng,,白
轉,tsuán,,文
轉,tńg,,白
轉,tuínn,,白
鞭,pian,,文
鞭,pinn,,白
鬆,song,,文
鬆,sang,,白
懶,lán,,文
懶,nuā,,白
簾,liâm,,文
簾,lî,,白
簾,nî,,白
繭,kián,,文
繭,kíng,,白
辭,sû,,文
辭,sî,,白
邊,pian,,文
邊,pinn,,白
關,kuan,,文
關,kuainn,,白
關,kuinn,,白
勸,khǹg,,白
勸,khuìnn,,白
勸,khuàn,,文
疊,thia̍p,,文
疊,tha̍h,,白
籠,lông,,文
籠,lóng,,文
籠,lâng,,白
籠,láng,,白
聽,thing,,文
聽,thiann,,白
聽,thìng,,文
讀,tho̍k,,文
讀,tha̍k,,白
變,piàn,,文
變,pìnn,,白
顯,hián,,文
顯,hiánn,,白
體,thé,,文
體,thué,,白
丈,tiōng,,文
丈,tiāng,,文
丈,tn̄g,,白
丈,tiūnn,,白
丈,tiōnn,,白
久,kiú,,文
久,kú,,白
口,khió,,文
口,khóo,,文
口,kháu,,白
夕,si̍k,,文
夕,sia̍h,,白
巳,sū,,文
巳,tsī,,白
弓,kiong,,文
弓,king,,白
井,tsíng,,文
井,tsénn,,白
井,tsínn,,白
今,kim,,文
今,kin,,白
孔,khóng,,文
孔,kháng,,白
少,siàu,,文
少,siáu,,文
少,tsió,,白
尺,tshik,,文
尺,tshioh,,白
手,siú,,文
手,tshiú,,白
支,tsi,,文
支,ki,,白
斗,tóo,,文
斗,tió,,文
斗,táu,,白
火,hué,,白
火,hé,,白
火,hónn,,文
片,phiàn,,文
片,phìnn,,白
牛,giû,,文
牛,gû,,白
丘,khiu,,文
丘,khu,,白
丙,piánn,,白
丙,píng,,文
乏,hua̍t,,文
乏,ha̍t,,白
兄,hing,,文
兄,hiann,,白
冬,tong,,文
冬,tang,,白
北,pak,,白
北,pok,,文
叩,khiò,,文
叩,khòo,,文
叩,khàu,,白
史,sú,,文
史,sái,,白
司,su,,文
司,sai,,白
司,si,,白
外,guā,,白
外,guē,,文
巧,khá,,白
巧,khiáu,,白
巧,kháu,,文
旦,tàn,,文
旦,tuànn,,白
末,bua̍t,,文
末,bua̍h,,白
瓜,kua,,文
瓜,kue,,白
瓦,uá,,文
瓦,hiā,,白
瓦,huā,,白
甲,kah,,白
甲,kap,,文
伐,hua̍t,,文
伐,hua̍h,,白
各,kok,,文
各,koh,,白
后,hiō,,文
后,hōo,,文
后,āu,,白
宅,thi̍k,,文
宅,the̍h,,白
式,sik,,文
式,sit,,白
忙,bông,,文
忙,bâng,,白
扛,kong,,文
扛,kng,,白
曲,khiok,,文
曲,khik,,白
汗,hān,,文
汗,kuānn,,白
百,pik,,文
百,pah,,白
百,peh,,白
竹,tik,,白
竹,tiok,,文
羊,iông,,文
羊,iâng,,文
羊,iûnn,,白
羊,iônn,,白
舌,sia̍t,,文
舌,tsi̍h,,白
行,hîng,,文
行,hâng,,文
行,hīng,,文
行,kiânn,,白
伯,pik,,文
伯,phik,,文
伯,peh,,白
伴,phuān,,文
伴,phuānn,,白
卵,luán,,文
卵,nn̄g,,白
卵,nuī,,白
吠,huī,,文
吠,puī,,白
吩,hun,,文
吩,huan,,白
含,hâm,,文
含,kâm,,白
吵,tsháu,,文
吵,tshá,,白
吹,tshui,,文
吹,tshue,,白
吹,tshe,,白
呂,lū,,文
呂,lī,,文
坊,hong,,文
坊,hng,,白
坐,tsō,,文
坐,tsōo,,文
坐,tsē,,白
坑,khing,,文
坑,khenn,,白
坑,khinn,,白
床,tshông,,文
床,tshn̂g,,白
弄,lōng,,文
弄,lāng,,白
役,i̍k,,文
役,ia̍h,,白
批,phi,,文
批,phue,,白
批,phe,,白
把,pá,,文
把,pé,,白
更,king,,文
更,kenn,,白
更,kinn,,白
更,kìng,,文
杆,kan,,文
杆,kuainn,,白
杆,kuann,,白
杆,kuinn,,白
杖,tiōng,,文
杖,tiāng,,文
杖,thn̄g,,白
沙,sa,,文
沙,se,,白
沙,sua,,白
