漢字,羅馬字,建議順序,類型
芚,thun,,甘
芚,tûn,,甘
芞,gut,,甘
芞,khit,,甘
芢,jîn,,甘
芣,hôo,,甘
芤,khu,,甘
芧,sū,,甘
芨,ki̍p,,甘
芩,khîm,,甘
芫,guân,,甘
芮,juē,,甘
芯,sim,,甘
芰,kī,,甘
芴,bu̍t,,甘
芵,kuat,,甘
芸,ûn,,甘
芺,iau,,甘
芺,thin,,甘
芻,tsoo,,甘
芼,môo,,甘
芼,mōo,,甘
芾,huì,,甘
苐,hut,,甘
苕,tiâu,,甘
苘,khíng,,甘
苙,li̍p,,甘
苜,bua̍t,,甘
苜,bia̍t,,甘
苜,bo̍k,,甘
苠,bîn,,甘
苣,kū,,甘
苤,phi,,甘
苨,ní,,甘
苩,pa,,甘
苩,pha,,甘
苫,siam,,甘
苫,thiam,,甘
苬,siû,,甘
苲,tsà,,甘
苲,tso̍k,,甘
苴,tshu,,甘
苴,tsu,,甘
苶,liap,,甘
苹,phîng,,甘
苻,hû,,甘
苽,koo,,甘
苾,bi̍t,,甘
苾,pit,,甘
苾,pi̍t,,甘
茀,hut,,甘
茀,pi̍t,,甘
茁,tsuat,,甘
茆,báu,,甘
茇,pua̍t,,甘
茈,tshâ,,甘
茈,tshú,,甘
茈,tshû,,甘
茍,kóo,,甘
茖,kik,,甘
茖,kok,,甘
茗,bîng,,拍掌
茗,bíng,,甘
茙,jiông,,甘
茛,kùn,,甘
茜,tshiàn,,甘
茞,tshí,,甘
茠,hiu,,甘
茢,lia̍t,,甘
茣,gôo,,甘
茣,ngôo,,甘
茦,tshik,,甘
茦,tshì,,甘
茨,tsu,,甘
茨,tsû,,甘
茩,kóo,,甘
茬,sî,,甘
茰,jû,,甘
茲,tsu,,甘
茳,kong,,甘
茴,huê,,甘
茷,hua̍t,,甘
茷,huī,,甘
茹,jû,,甘
茹,jî
茹,jú,,甘
茹,jí
茺,tshiong,,甘
茼,tông,,甘
荁,huân,,甘
荃,tshuan,,甘
荃,tsuân,,甘
荄,kai,,甘
荅,tap,,甘
荈,tshún,,甘
荋,jî,,甘
荍,kiâu,,甘
荎,tî,,甘
荎,tia̍t,,甘
荑,tê,,甘
荓,phing,,甘
荰,tōo,,甘
荵,jím,,甘
荸,pu̍t,,甘
荹,pōo,,甘
荻,ti̍k,,甘
荼,tshâ,,甘
荼,tôo,,甘
莀,lông,,甘
莅,li̍k,,甘
莆,pôo,,甘
莆,hú,,甘
莈,bu̍t,,甘
莉,lī,,甘
莌,tua̍t,,甘
莌,thok,,甘
莍,kiû,,甘
莒,kú,,甘
莕,hīng,,甘
莘,sin,,甘
莙,kún,,甘
莚,iân,,甘
莛,tîng,,甘
莜,thiau,,甘
莝,tshò,,甘
莞,uán,,甘
莞,uân,,甘
莟,hâm,,甘
莟,hām,,甘
莠,iú,,甘
莠,siù,,甘
莦,sau,,甘
莦,siau,,甘
莨,lông,,甘
莩,hôo,,甘
莩,hu,,甘
莩,piáu,,甘
莪,ngôo,,甘
莪,gô,,甘
莮,lâm,,甘
莾,bóng,,甘
菀,uán,,甘
菀,uan,,甘
菀,ut,,甘
菂,tik,,甘
菄,tong,,甘
菅,kuan,,甘
菅,kan,,甘
菆,tsoo,,甘
菉,lio̍k,,甘
菋,bī,,甘
菌,khún,,甘
菑,tsai,,甘
菑,tsu,,甘
菓,kó,,甘
菔,ho̍k,,甘
菔,po̍k,,甘
菗,tiû,,甘
菘,siông,,甘
菟,thòo,,甘
菡,hâm,,甘
菢,pāu,,甘
菤,kuán,,甘
菥,sik,,甘
菥,su,,甘
菪,tông,,甘
菪,tōng,,甘
菰,koo,,甘
菴,am,,甘
菵,bóng,,甘
菶,hông,,甘
菶,póng,,甘
菹,tshu,,甘
菹,tsia,,甘
菹,tsu,,甘
菻,lím,,甘
菻,lîm,,甘
菼,thám,,甘
菽,siok,,甘
萁,kî,,甘
萁,ki,,甘
萃,tsuī,,甘
萅,tshun,,甘
萅,tshún,,甘
萆,pi̍k,,甘
萆,pè,,甘
萆,pi,,甘
萇,tiông,,甘
萋,tshe,,甘
萌,bîng,,甘
萏,tám,,甘
萑,uân,,甘
萑,tsui,,甘
萩,tshiu,,甘
萩,sam,,甘
萪,kho,,甘
萮,jû,,甘
萱,suan,,甘
萸,jû,,甘
萸,jî
萹,pián,,甘
萼,go̍k,,甘
葁,kiong,,甘
葆,pó,,甘
葍,hok,,甘
葎,lu̍t,,甘
葐,phûn,,甘
葑,hong,,甘
葒,hông,,甘
葓,hông,,甘
葙,siong,,甘
葚,sîm,,甘
葚,tám,,甘
葜,khap,,甘
葠,sim,,甘
葢,kài,,甘
葢,khap,,甘
葥,tsiân,,甘
葥,tsiān,,甘
葦,uí,,甘
葨,ue,,甘
葭,ka,,甘
葮,tuān,,甘
葯,io̍k,,甘
葱,tshong,,甘
葳,ui,,甘
葶,tîng,,甘
葷,hun,,甘
葸,sí,,甘
葺,tship,,甘
葽,iau,,甘
葽,iàu,,甘
蒍,hua,,甘
蒍,uí,,甘
蒐,soo,,甘
蒔,sî,,甘
蒔,sī,,甘
蒞,li̍k,,甘
蒞,lī,,甘
蒟,kú,,甘
蒡,pông,,甘
蒢,tû,,甘
蒧,tiám,,甘
蒨,tshiàn,,甘
蒪,sûn,,甘
蒯,khuái,,甘
蒯,khuài,,甘
蒯,kuái,,甘
蒱,pôo,,甘
蒳,la̍p,,甘
蒹,kiam,,甘
蒺,tsi̍k,,甘
蒻,jio̍k,,甘
蒾,bê,,甘
蓀,sun,,甘
蓁,tsin,,甘
蓂,bîng,,甘
蓈,lông,,甘
蓊,ong,,甘
蓍,si,,甘
蓏,ló,,甘
蓐,jio̍k,,甘
蓒,hian,,甘
蓓,puē,,甘
蓖,pi,,甘
蓧,thiau,,甘
蓧,tiâu,,甘
蓩,mōo,,甘
蓩,bū,,甘
蓫,tio̍k,,甘
蓯,tshiong,,甘
蓯,tsóng,,甘
蓰,sú,,甘
蓳,kín,,甘
蓷,tshui,,甘
蓺,tsip,,甘
蓺,gē,,甘
蓼,liáu,,甘
蓼,lio̍k,,甘
蓼,ló,,甘
蓽,pit,,甘
蓿,siok,,甘
蔀,pōo,,甘
蔂,lô,,甘
蔃,kióng,,甘
蔃,kiông,,甘
蔆,lîng,,甘
蔇,khài,,甘
蔇,kì,,甘
蔉,kún,,甘
蔊,hán,,甘
蔋,ti̍k,,甘
蔌,sok,,甘
蔎,siat,,甘
蔏,siong,,甘
蔔,po̍k,,甘
蔕,tài,,甘
蔕,tè,,甘
蔘,sam,,甘
蔞,lôo,,甘
蔟,tshok,,甘
蔟,tsòo,,甘
蔣,tsiúnn,,白
蔣,tsiónn,,白
蔣,tsióng,,文
蔣,tsiáng,,文
蔤,bi̍t,,甘
蔦,liáu,,甘
蔦,niáu,,甘
蔫,ian,,甘
蔮,kok,,甘
蔯,tîn,,甘
蔴,môo,,甘
蔴,bâ,,甘
蔴,mâ,,甘
蔻,khòo,,甘
蔾,lê,,甘
蕁,tâm,,甘
蕆,thián,,甘
蕈,sîm,,甘
蕈,sín,,甘
蕋,luí,,甘
蕎,kiâu,,甘
蕎,kiau,,甘
蕐,hua,,甘
蕑,kan,,甘
蕓,hûn,,甘
蕕,iû,,甘
蕖,kû,,甘
蕘,jiâu,,甘
蕘,giâu,,甘
蕙,huī,,甘
蕚,go̍k,,甘
蕝,tshuat,,甘
蕝,tsuē,,甘
蕞,tshuat,,甘
蕞,tsuē,,甘
蕡,hûn,,甘
蕢,kuī,,甘
蕣,sùn,,甘
蕤,juê,,甘
蕤,sui,,甘
蕨,khuat,,甘
蕪,bû,,甘
蕫,tóng,,甘
蕫,tông,,甘
蕬,si,,甘
蕮,sik,,甘
蕸,hâ,,甘
蕸,ka,,甘
蕹,iong,,甘
蕺,tship,,甘
蕺,kik,,甘
蕻,hāng,,甘
薀,un,,甘
薁,hiok,,甘
薆,ài,,甘
薉,uè,,甘
薊,kè,,甘
薌,hiong,,甘
薍,guān,,甘
薍,luān,,甘
薐,lîng,,甘
薖,kho,,甘
薘,ta̍t,,甘
薙,thè,,甘
薛,pī,,甘
薛,siat,,甘
薜,phik,,甘
薝,tám,,甘
薠,huân,,甘
薡,tíng,,甘
薢,kái,,甘
薤,hāi,,甘
薧,khó,,甘
薧,kó,,甘
薨,ing,,甘
薳,uán,,甘
薳,uì,,甘
薴,lîng,,甘
薶,bâi,,甘
薷,jû,,甘
薹,tâi,,甘
薺,tsé,,甘
薽,tsin,,甘
薾,tsí,,甘
薾,ní,,甘
薿,gí,,甘
藁,kó,,甘
藂,tshông,,甘
藄,kî,,甘
藇,su,,甘
藇,sū,,甘
藋,thiàu,,甘
藎,tsīn,,甘
藒,khiat,,甘
藘,lû,,甘
藙,gē,,甘
藚,sio̍k,,甘
藛,siá,,甘
藜,lê,,甘
藞,luá,,甘
藟,luí,,甘
藦,môo,,甘
藨,piáu,,甘
藪,sóo,,甘
藬,tuê,,甘
藭,kiông,,甘
藶,li̍k,,甘
藷,tsu,,甘
藺,līn,,甘
藻,tsó,,甘
藾,nāi,,甘
藿,hok,,甘
蘀,thok,,甘
蘄,kî,,甘
蘅,hîng,,甘
蘈,tuê,,甘
蘉,bông,,甘
蘖,gia̍t,,甘
蘘,jiông,,甘
蘚,sián,,甘
蘝,liám,,甘
蘝,liâm,,甘
蘞,liám,,甘
蘞,liâm,,甘
蘠,tshiông,,甘
蘡,ing,,甘
蘢,liông,,甘
蘢,lóng,,甘
蘢,lông,,甘
蘤,uí,,甘
蘤,pô,,甘
蘧,kù,,甘
蘧,kû,,甘
蘨,iâu,,甘
蘨,iû,,甘
蘩,huân,,甘
蘪,bî,,甘
蘲,luí,,甘
蘲,luî,,甘
蘶,guī,,甘
蘸,tsàm,,甘
蘹,huâi,,甘
蘺,lî,,甘
蘼,bî,,甘
蘽,luí,,甘
蘿,lô,,甘
虆,luí,,甘
虆,luî,,甘
虍,hoo,,甘
虒,tuê,,甘
虓,hau,,甘
虖,hoo,,甘
虙,ho̍k,,甘
虙,hū,,甘
虜,lóo,,甘
虞,gû,,甘
虢,khik,,甘
虣,pō,,甘
虥,tsiàn,,甘
虦,tsiàn,,甘
虩,hik,,甘
虩,khik,,甘
虩,sik,,甘
虫,huí,,甘
虫,thiông,,甘
虬,khiû,,甘
虬,kiu,,甘
虬,kiû,,甘
虰,ting,,甘
虳,ioh,,甘
虵,tô,,甘
虺,huí,,甘
虺,khuí,,甘
虼,kik,,甘
蚆,pa,,甘
蚆,pha,,甘
蚇,tshik,,甘
蚋,juē,,甘
蚍,pî,,甘
蚎,ua̍t,,甘
蚑,kî,,甘
蚕,tshâm,,甘
蚕,thián,,甘
蚖,guân,,甘
蚗,kuat,,甘
蚚,kî,,甘
蚝,tshì,,甘
蚧,kài,,甘
蚨,hû,,甘
蚩,tshi,,甘
蚪,tóo,,甘
蚯,khiu,,甘
蚰,iû,,甘
蚱,tsik,,甘
蚱,tsā,,甘
蚳,tî,,甘
蚵,hô,,甘
蚸,li̍k,,甘
蚹,hū,,甘
蚺,jiám,,甘
蚻,tsat,,甘
蚽,phî,,甘
蚾,phó,,甘
蚾,pò,,甘
蚿,hiân,,甘
蛃,píng,,甘
蛄,koo,,甘
蛅,tsiam,,甘
蛈,thiat,,甘
蛈,tia̍t,,甘
蛉,lîng,,甘
蛌,koo,,甘
蛐,khiok,,甘
蛑,bôo,,甘
蛒,kik,,甘
蛓,tshì,,甘
蛓,tshù,,甘
蛔,huê,,甘
蛕,huê,,甘
蛘,iông,,甘
蛞,khuat,,甘
蛞,kuat,,甘
蛣,khiat,,甘
蛣,kiat,,甘
蛩,khiông,,甘
蛩,kiông,,甘
蛬,kiông,,甘
蛭,tsit,,甘
蛭,tia̍t,,甘
蛮,bân,,甘
蛵,hing,,甘
蛷,kiû,,甘
蛸,sau,,甘
蛸,siau,,甘
蛹,ióng,,甘
蛺,kiap,,甘
蛾,ngôo,,甘
蛾,gô,,甘
蜃,sīn,,甘
蜅,hú,,甘
蜆,hián,,甘
蜇,tsiat,,甘
蜇,suat,,甘
蜉,hôo,,甘
蜋,liông,,甘
蜋,lông,,甘
蜌,pē,,甘
蜎,kuan,,甘
蜎,iân,,甘
蜏,iú,,甘
蜐,kiap,,甘
蜑,tān,,甘
蜒,tîng,,甘
蜓,iân,,甘
蜓,thíng,,甘
蜔,tiān,,甘
蜚,hui,,甘
蜚,huí,,甘
蜝,kî,,甘
蜟,iok,,甘
蜠,khûn,,甘
蜡,tshiok,,甘
蜣,khiong,,甘
蜥,sik,,甘
蜥,suat,,甘
蜧,lē,,甘
蜨,tsiat,,甘
蜨,tia̍p,,甘
蜩,tiâu,,甘
蜫,khun,,甘
蜮,hi̍k,,甘
蜰,huí,,甘
蜰,huî,,甘
蜲,uí,,甘
蜴,i̍k,,甘
蜴,sik,,甘
蜷,kuân,,甘
蜹,juē,,甘
蜺,gê,,甘
蜻,tsing,,甘
蜻,tshing,,甘
蜾,kó,,甘
蜿,uan,,甘
蜿,uán,,甘
蝀,tòng,,甘
蝃,tuat,,甘
蝃,tè,,甘
蝌,kho,,甘
蝍,tsik,,甘
蝎,giat,,甘
蝎,hat,,甘
蝒,biân,,甘
蝓,jû,,甘
蝗,hông,,甘
蝘,ián,,甘
蝙,pián,,甘
蝚,jiû,,甘
蝛,ui,,甘
蝝,huân,,甘
蝝,iân,,甘
蝟,uī,,甘
蝠,hok,,甘
蝡,juán,,甘
蝡,jún,,甘
蝣,iû,,甘
蝤,tsiu,,甘
蝤,tsiû,,甘
蝤,iû,,甘
蝥,bôo,,甘
蝥,mâu,,甘
蝪,thong,,甘
蝪,tōng,,甘
蝫,tsu,,甘
蝭,tè,,甘
蝭,tê,,甘
蝮,hok,,甘
蝯,uân,,甘
蝱,bîng,,甘
蝱,bông,,甘
蝸,ua,,甘
蝹,un,,甘
蝻,lâm,,甘
螁,thuè,,甘
螂,bông,,甘
螂,liông,,甘
螂,lông,,甘
螃,pông,,甘
螄,su,,甘
螇,hê,,甘
螈,guân,,甘
螉,ong,,甘
螊,liâm,,甘
螓,tsîn,,甘
螗,tông,,甘
螘,gí,,甘
螙,tòo,,甘
螞,má,,甘
螣,ti̍k,,甘
螣,tîng,,甘
螥,tshong,,甘
螫,sik,,甘
螬,tsô,,甘
螭,lî,,甘
螮,tài,,甘
螮,tè,,甘
螯,ngôo,,甘
螯,gô,,甘
螰,lo̍k,,甘
螲,tsik,,甘
螳,tông,,甘
螵,phiau,,甘
螻,lôo,,甘
螼,khím,,甘
螽,tsiong,,甘
螾,în,,甘
蟁,bûn,,甘
蟆,bôo,,甘
蟆,bo̍k,,甘
蟇,bôo,,甘
蟇,bo̍k,,甘
蟈,kok,,甘
蟉,liú,,甘
蟉,liû,,甘
蟊,mâu,,甘
蟌,pi,,甘
蟕,tshuì,,甘
蟘,ti̍k,,甘
蟛,phîng,,甘
蟜,kiáu,,甘
蟞,phiat,,甘
蟞,piat,,甘
蟟,liâu,,甘
蟠,huân,,甘
蟢,hí,,甘
蟣,ki,,甘
蟣,kí,,甘
蟥,hông,,甘
蟦,huì,,甘
蟧,lô,,甘
蟨,khuat,,甘
蟨,kuat,,甘
蟪,huī,,甘
蟫,îm,,甘
蟫,sîm,,甘
蟫,tham,,甘
蟱,bû,,甘
蟺,siān,,甘
蟿,kè,,甘
蟿,khè,,甘
蠁,hióng,,甘
蠃,ló,,甘
蠃,lô,,甘
蠄,khîm,,甘
蠆,tshài,,甘
蠆,māi,,甘
蠈,tsi̍k,,甘
蠉,huân,,甘
蠋,tsiok,,甘
蠋,sio̍k,,甘
蠐,tsê,,甘
蠑,îng,,甘
蠔,hô,,甘
蠖,hōo,,甘
蠘,tsia̍t,,甘
蠙,pin,,甘
蠛,bia̍t,,甘
蠜,huân,,甘
蠠,bi̍t,,甘
蠡,lé,,甘
蠡,lê,,甘
蠡,lô,,甘
蠢,tshún,,甘
蠣,lē,,甘
蠧,tòo,,甘
蠩,tsû,,甘
蠪,lông,,甘
蠭,hong,,甘
蠮,iat,,甘
蠱,kóo,,甘
蠲,kuan,,甘
蠵,hê,,甘
蠹,tòo,,甘
蠽,tsia̍t,,甘
蠾,tsiok,,甘
蠾,sio̍k,,甘
衁,hong,,甘
衂,lok,,甘
衃,phue,,甘
衄,jio̍k,,甘
衄,lok,,甘
衅,hùn,,甘
衆,tsiòng,,甘
衈,jī,,甘
衉,khik,,甘
衊,bia̍t,,甘
衋,hik,,甘
衎,khán,,甘
衎,khàn,,甘
衒,hiân,,甘
衒,hiān,,甘
衕,tông,,甘
衖,hāng,,甘
衚,hôo,,甘
衚,ôo,,甘
衞,uē,,甘
衢,kû,,甘
衩,tshà,,甘
衭,hu,,甘
衭,hû,,甘
衮,kún,,甘
衯,hun,,甘
衱,kiap,,甘
衱,kip,,甘
衵,lik,,甘
衵,li̍k,,甘
衵,ji̍t,,甘
衼,kuí,,甘
衽,jím,,甘
衾,khim,,甘
衿,khim,,甘
衿,kim,,甘
袀,kun,,甘
袁,uân,,甘
袂,māi,,甘
袊,líng,,甘
袎,áu,,甘
袎,iàu,,甘
袑,siāu,,甘
袒,thán,,甘
袗,tsín,,甘
袙,phànn,,甘
袚,pua̍t,,甘
袚,hut,,甘
袛,tí,,甘
袞,kún,,甘
袢,phuàn,,甘
袤,bōo,,甘
袥,thok,,甘
袨,hiân,,甘
袨,hiān,,甘
袪,khu,,甘
袴,khuà,,甘
袴,khòo,,甘
袵,jím,,甘
袷,khap,,甘
袷,kiap,,甘
袺,khiat,,甘
袺,kiat,,甘
袻,jî,,甘
袼,kok,,甘
袽,jû,,甘
袾,tsu,,甘
裀,in,,甘
裉,khùn,,甘
裊,niáu,,甘
裋,tuán,,甘
裋,sū,,甘
裍,khún,,甘
裎,tîng,,甘
裎,thíng,,甘
裎,thîng,,甘
裛,ip,,甘
裧,tshiam,,甘
裧,thám,,甘
裨,pi,,甘
裨,pî,,甘
裬,lîng,,甘
裮,tshiong,,甘
裯,tiû,,甘
裯,to,,甘
裯,tû,,甘
裰,tuat,,甘
裳,siông,,甘
裴,puê,,甘
裴,pâi,,甘
裶,hui,,甘
裸,lōo,,甘
裺,iám,,甘
裻,tok,,甘
裼,thik,,甘
褅,tè,,甘
褅,thè,,甘
褆,sī,,甘
褉,hē,,甘
褊,pián,,甘
褌,khun,,甘
褌,kun,,甘
褐,hat,,甘
褑,uān,,甘
褓,pó,,甘
褕,jû,,甘
褖,thuàn,,甘
褗,ián,,甘
褘,uî,,甘
褚,thú,,甘
褚,tsú,,甘
褠,koo,,甘
褡,tap,,甘
褢,huâi,,甘
褦,nāi,,甘
褧,kíng,,甘
褭,niáu,,甘
褯,tsià,,甘
褰,khian,,甘
褰,kián,,甘
褱,huâi,,甘
褳,liân,,甘
褵,lî,,甘
褶,si̍p,,甘
褸,lú,,甘
褹,gē,,甘
褻,siat,,甘
褼,tshian,,甘
襁,kióng,,甘
襃,iū,,甘
襆,pok,,甘
襊,tshuat,,甘
襋,kik,,甘
襏,puat,,甘
襓,jiâu,,甘
襗,to̍k,,甘
襘,tsing,,甘
襘,huē,,甘
襘,kuè,,甘
襚,suī,,甘
襛,lông,,甘
襜,tshiam,,甘
襜,liâm,,甘
襝,tshiam,,甘
襝,liâm,,甘
襞,phik,,甘
襠,tong,,甘
襡,sio̍k,,甘
襢,siān,,甘
襢,thán,,甘
襣,pī,,甘
襦,jû,,甘
襩,sio̍k,,甘
襩,to̍k,,甘
襫,sik,,甘
襭,khiat,,甘
襮,phok,,甘
襯,tshàn,,甘
襯,tshìn,,甘
襱,liông,,甘
襱,lông,,甘
襳,tshiam,,甘
襳,siam,,甘
襴,lân,,甘
襵,tsiap,,甘
襵,liap,,甘
襶,tài,,甘
襺,kián,,甘
襾,hà,,甘
覂,huān,,甘
覂,hōng,,甘
覃,sím,,甘
覃,thâm,,甘
覇,pà,,甘
覈,hi̍k,,甘
覈,hu̍t,,甘
覊,ki,,甘
覌,kuan,,甘
覌,kuàn,,甘
覐,kak,,甘
覔,bi̍k,,甘
覗,su,,甘
覘,tiam,,甘
覛,bi̍k,,甘
覜,thiàu,,甘
覟,tsì,,甘
覡,hi̍k,,甘
覦,jû,,甘
覧,lám,,甘
覩,tóo,,甘
覬,khái,,甘
覬,kì,,甘
覭,bîng,,甘
覯,kòo,,甘
覲,kīn,,甘
覶,lô,,甘
覷,tshù,,甘
覸,hán,,甘
覸,kàn,,甘
覼,lô,,甘
覿,to̍k,,甘
觔,kun,,甘
觕,tshiok,,甘
觕,tshoo,,甘
觖,khuat,,甘
觖,kuat,,甘
觚,koo,,甘
觜,tsui,,甘
觝,tí,,甘
觟,huá,,甘
觟,hāi,,甘
觡,kik,,甘
觥,king,,甘
觥,kong,,甘
觧,kái,,甘
觩,kiû,,甘
觫,sok,,甘
觭,khi,,甘
觭,kî,,甘
觰,tánn,,甘
觲,sin,,甘
觴,siong,,甘
觵,king,,甘
觵,kong,,甘
觶,tì,,甘
觼,kuat,,甘
觿,hê,,甘
訄,kiû,,甘
訅,kiû,,甘
訆,kiàu,,甘
訇,ing,,甘
訌,hông,,甘
訌,kong,,甘
訏,hú,,甘
訐,khiat,,甘
訑,si,,甘
訒,jīm,,甘
訕,san,,甘
訕,sàn,,甘
訕,siàn,,甘
訖,gut,,甘
訛,ngôo,,甘
訛,gô,,甘
訝,gā,,甘
訠,sín,,甘
訢,him,,甘
訢,hi,,甘
訥,lu̍t,,甘
訧,iû,,甘
訨,tsí,,甘
訩,hiong,,甘
訬,tshau,,甘
訹,sut,,甘
証,tsìng,,甘
訾,tshú,,甘
訾,tshû,,甘
訿,tshú,,甘
訿,tshû,,甘
詀,tshiam,,甘
詀,tiam,,甘
詀,tsām,,甘
詁,kóo,,甘
詄,tia̍t,,甘
詆,tí,,甘
詉,lōo,,甘
詉,lâu,,甘
詋,tsiù,,甘
詌,khàm,,甘
詎,kū,,甘
詏,áu,,甘
詏,iàu,,甘
詑,thô,,甘
詑,tô,,甘
詒,î,,甘
詒,tâi,,甘
詒,thài,,甘
詖,phî,,甘
詖,pì,,甘
詗,híng,,甘
詘,khut,,甘
詘,thut,,甘
詛,tsóo,,甘
詝,thú,,甘
詠,īng,,甘
詡,hú,,甘
詤,hóng,,甘
詨,hau,,甘
詨,kau,,甘
詪,hún,,甘
詪,khún,,甘
詪,kún,,甘
詫,tshà,,甘
詫,thà,,甘
詬,hōo,,甘
詬,kòo,,甘
詵,sin,,甘
詶,tshiû,,甘
詶,tsiù,,甘
詶,siû,,甘
詷,tông,,甘
詺,bi,,甘
詻,gi̍k,,甘
詻,go̍k,,甘
詽,gan,,甘
詽,hian,,甘
詿,kuà,,甘
誂,thiáu,,甘
誃,tshí,,甘
誄,luí,,甘
誅,tu,,甘
誆,khong,,甘
誆,khòng,,甘
誆,kòng,,甘
誎,tshì,,甘
誏,lóng,,甘
誏,lōng,,甘
誐,ngôo,,甘
誑,kòng,,甘
誒,hi,,甘
誖,puē,,甘
誖,pu̍t,,甘
誚,siàu,,甘
誥,khò,,甘
誧,phoo,,甘
誨,huè,,甘
誩,kīng,,甘
誱,tsia̍t,,甘
誶,suì,,甘
誶,tsuī,,甘
誶,tsu̍t,,甘
誷,bóng,,甘
誾,gûn,,甘
諄,tun,,甘
諄,tsùn,,甘
諉,uí,,甘
諎,tsik,,甘
諎,tshòo,,甘
諏,tsoo,,甘
諐,khian,,甘
諑,tok,,甘
諓,tshián,,甘
諓,tsian,,甘
諓,tsián,,甘
諕,hô,,甘
諗,sím,,甘
諛,jû,,甘
諛,jū,,甘
諝,su,,甘
諝,sú,,甘
諞,phian,,甘
諞,pián,,甘
諟,sī,,甘
諠,suan,,甘
諢,gùn,,甘
諢,hūn,,甘
諤,go̍k,,甘
諥,tsiòng,,甘
諫,kàn,,甘
諬,khé,,甘
諯,tsuan,,甘
諱,huì,,甘
諲,in,,甘
諴,hâm,,甘
諵,lâm,,甘
諶,sîm,,甘
諷,hóng,,甘
諼,suan,,甘
諿,tship,,甘
謁,iat,,甘
謅,tshau,,甘
謅,tsháu,,甘
謅,tsoo,,甘
謆,siàn,,甘
謇,kián,,甘
謈,pâu,,甘
謈,phok,,甘
謌,ko,,甘
謐,bi̍k,,甘
謒,tshong,,甘
謖,siok,,甘
謚,ik,,甘
謞,hau,,甘
謟,tho,,甘
謦,khìng,,甘
謧,lî,,甘
謨,bôo,,甘
謪,siong,,甘
謫,tik,,甘
謭,tsián,,甘
謯,tsa,,甘
謱,lôo,,甘
謲,tsham,,甘
謴,kùn,,甘
謷,ngôo,,甘
謷,ngōo,,甘
謷,gô,,甘
謷,gō,,甘
謺,tsip,,甘
謼,hoo,,甘
謽,kiōng,,甘
謾,bān,,甘
譀,hàm,,甘
譂,tshián,,甘
譃,hiok,,甘
譃,hu,,甘
譆,hi,,甘
譇,tshia,,甘
譈,tuī,,甘
譊,lau,,甘
譌,gô,,甘
譍,ìng,,甘
譎,khiat,,甘
譐,tsún,,甘
譑,kiáu,,甘
譒,pòo,,甘
譒,pò,,甘
譓,huī,,甘
譔,tsuān,,甘
譕,bôo,,甘
譕,bû,,甘
譖,tshìm,,甘
譖,tsiàm,,甘
譖,tsìm,,甘
譙,tsiâu,,甘
譟,tshò,,甘
譟,sò,,甘
譫,tsiam,,甘
譭,huí,,甘
譮,tsing,,甘
譮,huē,,甘
譮,hāi,,甘
譸,tsiu,,甘
譸,tiû,,甘
譹,hô,,甘
譺,gí,,甘
譾,tsián,,甘
譿,huī,,甘
讄,luí,,甘
讌,iàn,,甘
讍,go̍k,,甘
讎,siû,,甘
讒,tshâm,,甘
讕,lân,,甘
讗,hi̍k,,甘
讘,liap,,甘
讙,huan,,甘
讛,gē,,甘
讜,tóng,,甘
讞,gia̍t,,甘
讞,hiàn,,甘
讟,to̍k,,甘
谸,tshian,,甘
谺,hâ,,甘
谽,hâm,,甘
谿,hê,,甘
谿,khe,,甘
豀,hê,,甘
豀,khe,,甘
豁,hat,,甘
豇,kong,,甘
豉,sī,,甘
豊,lé,,甘
豋,ting,,甘
豌,uan,,甘
豓,iām,,甘
豕,sí,,甘
豖,thiok,,甘
豖,tiok,,甘
豗,hue,,甘
豛,i̍k,,甘
豜,gian,,甘
豜,kian,,甘
豝,pa,,甘
豟,ik,,甘
豢,huān,,甘
豤,khún,,甘
豦,kù,,甘
豦,kū,,甘
豨,hi,,甘
豨,hí,,甘
豭,ka,,甘
豱,un,,甘
豳,pin,,甘
豵,tsong,,甘
豶,hûn,,甘
豷,hì,,甘
豺,tshâi,,甘
豻,kan,,甘
豽,lu̍t,,甘
貀,lu̍t,,甘
貁,iú,,甘
貅,hiu,,甘
貆,huân,,甘
貈,hok,,甘
貊,bi̍k,,甘
貍,lî,,甘
貏,pí,,甘
貒,thuan,,甘
貒,thuàn,,甘
貔,pî,,甘
貘,bi̍k,,甘
貙,khu,,甘
貣,thik,,甘
貭,tsit,,甘
貰,sè,,甘
貱,pì,,甘
貲,tsu,,甘
貵,phián,,甘
貹,sìng,,甘
貺,hóng,,甘
貺,hòng,,甘
賁,huì,,甘
賁,hûn,,甘
賁,phun,,甘
賁,pì,,甘
賃,jīm,,甘
賅,kai,,甘
賏,ing,,甘
賔,pin,,甘
賕,kiû,,甘
賙,tsiu,,甘
賚,nāi,,甘
賝,thim,,甘
賡,king,,甘
賧,tām,,甘
賬,tiòng,,甘
賯,khîng,,甘
賰,tshún,,甘
賱,ún,,甘
賵,hōng,,甘
賶,tshòng,,甘
賷,tse,,甘
賸,īn,,甘
賸,sīng,,甘
賻,hù,,甘
賻,hū,,甘
賾,tsik,,甘
贀,uí,,甘
贂,tshím,,甘
贄,tsì,,甘
贋,gān,,甘
贍,siām,,甘
贒,hiân,,甘
贔,pī,,甘
贕,to̍k,,甘
贗,gān,,甘
贛,kòng,,甘
