義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,內,裡。裡面。,,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。
,內,指國內的政務。,,外,非本國的。
,公,雄性的。,,母,釋義參見【母】bó 條。
,冇,鬆軟。結構不紮實。,,𠕇,硬的、堅實的。
,冗,鬆、寬。形容東西、事物不緊或寬鬆的樣子。,,絚,緊。嚴密，不放鬆。
,冗,形容金錢方面的寬裕。,,絚,形容生活困窘，不寬裕。
,凶,不吉利的。,,吉,美好的、善的。
,勼,縮小、收縮。,,探,伸出去。
,內䘥仔,無袖內衣。,,外衫,外衣。穿在外面的衣服。
,內才,內涵。一個人的內在修為、學識、才華。,,外才,交際能力。口頭表達或待人接物等交際的能力。
,五仁,插科打諢。形容人行為滑稽、詼諧，逗人發笑。,,古板,死板。作風保守、固執不知變通。
,勻勻仔,慢慢地、謹慎小心地。,,趕緊,加快動作的速度。
,不中用,東西不合用、不好使用。,,中用,物品很好使用，容易使用。
,不中用,東西不合用、不好使用。,,有路用,有用處、有益處。
,不中用,形容沒有才能，像廢物一樣的人。,,中用,形容人很有能力、很好差遣。
,冇手,大方、慷慨。,,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。
,六月冬,夏稻、夏穫。夏季收穫的農作物、第一期稻作所收成的農作物。,,晚冬,二期稻作。
,公平,公正。心存正道，沒有偏私。,,偏心,偏袒。袒護一方，對某一方存私心。
,中用,物品很好使用，容易使用。,,不中用,東西不合用、不好使用。
,中用,物品很好使用，容易使用。,,無路用,沒有用、不中用。
,中用,形容人很有能力、很好差遣。,,不中用,形容沒有才能，像廢物一樣的人。
,中用,形容人很有能力、很好差遣。,,無路用,沒有用、不中用。
,中用,形容人很有能力、很好差遣。,,半病仔,喻指不中用、無能的人。
,中立,不偏袒。,,偏心,偏袒。袒護一方，對某一方存私心。
,內行,對某種事或工作有豐富的知識和經驗。,,外行,形容人對某事沒經驗或不了解。
,不孝,對長輩不孝順。,,有孝,孝順。侍奉父母尊長，克盡人子孝道。
,公事,公眾的事務。,,私事,個人的事。
,內底,裡面、內部。,,外口,外面。外頭、外邊。
,內底,裡面、內部。,,外面,外面、外頭、外邊。
,公的,雄性的動物、陽性的器物。,,母的,雌的。雌性動植物。
,分的,收養的小孩。,,親生,親自生育的。
,內政,國家內部的政事。,,外交,以和平的方法，處理對外的關係。通常或指一國的外交政策，或指處理外交的程序。
,內科,依照病人對症狀的敘述，以用藥、打針來治療身體內部的各種疾病，而不動外科手術。,,外科,臨床醫學的一大分支。主要處理身體的急性損傷，以及一些非手術治療不可的慢性疾病。
,內衫,內衣。貼身穿在上身的衣服，通常較薄。,,外衫,外衣。穿在外面的衣服。
,內面,裡面、內部。,,外口,外面。外頭、外邊。
,內面,裡面、內部。,,外面,外面、外頭、外邊。
,允准,允許、准許。,,毋准,不允許、不答應。
,內套,女用上身內襯。,,外衫,外衣。穿在外面的衣服。
,內套,女用上身內襯。,,外套,在平常服裝外面所加的禦寒外衣，稱為「外套」。
,公家,屬於政府的、公眾的。,,民營化,為提升國家競爭力和事業經營效率，將國營事業轉變由民間出資經營。
,不時,隨時、經常。無論什麼時候。,,一半擺仔,偶爾、一兩次。
,不動產,泛指土地及附著於土地上的定著物和改良物。,,動產,可移動的財產，如金錢、證券等。
,冗剩,寬裕。,,缺欠,不足、不夠、匱乏、窮乏。
,內場,賭博中，稱莊家為「內場」。,,外場,賭博中，稱莊腳為「外場」。
,內場,店家不直接面對客人的場所及人員。如餐廳的廚房。,,外場,劇場、店家直接面對觀眾、客人的場所及人員。
,分散,分離散開。,,聯合,連合、結合。
,分開,分離、分散。,,集中,集合、匯聚在一起。
,分開,分離、分散。,,集合,會合、聚在一起。
,分開,分離、分散。,,會合,照約定好的時間及地點彼此聚會、集合。
,仁慈,和善、善良。慈悲，寬大慈善。,,殘忍,兇惡狠毒。
,仁慈,和善、善良。慈悲，寬大慈善。,,殘酷,殘忍、冷酷無情。
,仁慈,和善、善良。慈悲，寬大慈善。,,酷刑,殘忍、心狠手辣。
,中醫,中國傳統的醫學。,,西醫,採用西洋醫術的醫生或醫療方法。
,天,地球周圍，日月星辰羅列的空間，宗教上是指神靈居住的世界。,,地,人類萬物棲息生長的場所。
,天,地球周圍，日月星辰羅列的空間，宗教上是指神靈居住的世界。,,地,人類萬物棲息生長的場所。
,夫,婚後女子對男子的稱謂。,,妻,稱謂。男子稱自己的正式配偶。
,夫,婚後女子對男子的稱謂。,,家後,妻子、太太。
,少,多的相反。大多用於可計數之實體性物質。,,少缺,不缺、多得很。多用在反詰口氣。
,少,多的相反。大多用於可計數之實體性物質。,,厚,指數量多的。
