詞目id,詞目漢字,對應詞目id,對應詞目漢字
,紅,,赤
,胛心肉,,襟胸
,胛心肉,,胛心
,紅毛塗,,水泥
,紅肉李,,紅肉內李
,致病,,破病
,致病,,染病
,紅記記,,紅絳絳
,紅記記,,紅朱朱
,紅記記,,紅帕帕
,胡椒,,胡椒粉
,紅絳絳,,紅記記
,紅絳絳,,紅朱朱
,紅絳絳,,紅帕帕
,紅塗,,赤仁仔塗
,紅塗,,紅仁塗
,耶穌,,基督
,耶穌,,救主
,紅龜,,紅龜粿
,紅龜,,紅龜仔粿
,紅龜粿,,紅龜
,紅龜粿,,紅龜仔粿
,胡蠅紙,,胡蠅黐
,胡蠅紙,,黏黐
,茄仔色,,茄色
,茅仔草,,菅草
,茅仔草,,茅草
,若有若無,,有敢若無
,茄茉菜,,厚茉菜
,舢舨仔,,舢舨
,衫仔裾,,衫仔裾尾
,重句,,重舌
,限制,,制限
,限制,,結定
,限制,,限定
,重眠,,貪睏
,重敧爿,,重頭輕
,重敧爿,,懸低爿
,重新,,重閣
,飛行機,,飛船
,飛行機,,飛機
,風吹輪,,風翱
,風尾,,下風
,香油,,芳油
,風波,,風雨
,食便領現,,食清領便
,面前,,目前
,面前,,面頭前
,面前,,眼前
,風俗,,習慣
,面盆,,面桶
,香烌,,爐丹
,面桶,,面盆
,食清領便,,食便領現
,飛船,,飛行機
,飛船,,飛機
,風喙口,,風櫃
,風喙口,,風喙
,風喙口,,風灌口
,風湧,,湧
,風筒,,風灌
,風筒,,風抽
,香菇肉糜,,鹹糜
,食飯桌,,飯桌仔
,食暗,,食暗飯
,食暗,,食暗頓
,香煙,,香火
,俺,,阮
,俺,,咱
,修正,,修改
,修正,,修削
,修面,,修喙鬚
,修面,,剾喙鬚
,冤家量債,,相罵
,冤家量債,,盤喙錦
,冤家量債,,諍喙
,冤家量債,,冤家勞債
,倫理,,人倫
,倒頭行,,行倒轉
,倒頭行,,行翻頭
,凍露水,,食露水
,哺,,哺食
,原早,,本來
,原早,,早前
,原早,,較早
,哼哼叫,,哼哼呻
,唔唔睏,,嚶嚶睏
,厝頂,,厝尾頂
,哪著,,曷使
,哪著,,曷著
,哪著,,哪使
,哪著,,哪愛
,娘仔絲,,蠶仔絲
,娘仔葉,,桑仔葉
,娘仔葉,,蠶仔葉
,家事,,家內事
,展威,,展𠢕
,展威,,展勥
,家婆,,多事
,差教,,央教
,展開,,拍開
,害蟲,,歹蟲
,挩枋,,洗衫枋
,挩枋,,挩枋仔
,拳頭拇,,拳
,拳頭拇,,拳頭
,挵,,撞
,時候,,時陣
,挽脈,,糾筋
,挽脈,,挽搣
,時陣,,時候
,捒做堆,,圓房
,敆逝,,接縫
,料想袂到,,無疑
,料想袂到,,無疑悟
,料想袂到,,想袂到
,捙盤,,盤捙
,捋頭毛,,捋頭鬃
,敆藥仔,,拆藥仔
,敆藥仔,,配藥
,桃,,桃仔
,桃,,桃花
,柴刀,,柴鍥
,柴刀,,柴鍥仔
,柴刀,,割草鍥仔
,校工,,工友
,桃仔,,桃
,校長,,學校長
,桌崁,,桌罩
,晏起來,,晏起
,柴頭尪仔,,柴人
,柴鍥,,柴刀
,柴鍥,,柴鍥仔
,柴鍥,,割草鍥仔
,浮崙,,浮洲
,浮崙,,浮嶼
,海湧,,海波浪
,海墘,,海岸
,烘火,,烘燒
,烘火,,熁燒
